,precision,recall,f1-score,support
0,0.9468579511012326,0.9481991096721974,0.9475280558083106,4942.0
1,0.7316588506478022,0.9527999171928372,0.8277133351317328,9661.0
2,0.9931601542603508,0.9993410455410748,0.9962410131017118,13658.0
3,0.8166229077781424,0.9990965669544268,0.8986907449209931,9962.0
4,0.9995041117401545,0.9999173177890777,0.9997106720674548,24189.0
5,0.42857142857142855,0.0196078431372549,0.0375,153.0
6,1.0,0.9875,0.9937106918238994,80.0
7,0.9999853360608261,0.9999963339748877,0.9999908349876181,272775.0
8,0.526517571884984,0.41121868449945104,0.4617798699843084,10019.0
9,0.992936427850656,0.4854464726196349,0.6520874751491054,4054.0
10,0.9050493962678375,0.8539616778871051,0.8787636557420729,1931.0
11,0.4823290643152075,0.669256166245873,0.5606214666287063,10298.0
12,0.6440117560617193,0.4844548846206992,0.5529532371264095,7237.0
13,0.9496610734526059,0.8542582966813275,0.8994369310108931,10004.0
14,0.5580952380952381,0.1971736204576043,0.29139731476877173,2972.0
accuracy,0.9472894602484716,0.9472894602484716,0.9472894602484716,0.9472894602484716
macro avg,0.798330751205879,0.7241485291515635,0.7332083532167992,381935.0
weighted avg,0.94879045858814,0.9472894602484716,0.9448843521403085,381935.0
