,precision,recall,f1-score,support
0,0.9427394438722966,0.9476190476190476,0.9451729478575116,4830.0
1,0.8799731783638802,0.818673320856727,0.8482171711731121,9618.0
2,0.9997774480712166,0.9968932613358976,0.9983332716026518,13519.0
3,1.0,1.0,1.0,9949.0
4,1.0,1.0,1.0,24506.0
5,0.2556131260794473,0.7437185929648241,0.38046272493573263,199.0
6,1.0,1.0,1.0,69.0
7,1.0,1.0,1.0,272695.0
8,0.7272263071895425,0.7129555466559871,0.720020222446916,9988.0
9,0.9700854700854701,0.8409483823166214,0.900912819155973,4049.0
10,0.8377622377622378,0.9112576064908722,0.872965751760991,1972.0
11,0.7537561762629827,0.7439291401273885,0.7488104182319059,10048.0
12,0.7234098706782792,0.7560336505309613,0.7393620608267584,7251.0
13,0.9297065418738423,0.9387674739121874,0.9342150379622826,10158.0
14,0.5906976744186047,0.7000648508430609,0.640747885442944,3084.0
accuracy,0.9694581538743503,0.9694581538743503,0.9694581538743503,0.9694581538743503
macro avg,0.8407164983105201,0.8740573915769051,0.848614687426452,381935.0
weighted avg,0.9706657131319834,0.9694581538743503,0.9698675123787139,381935.0
