,precision,recall,f1-score,support
0.0,0.9998935377408709,1.0,0.9999467660367314,9392.0
1.0,0.85553772070626,0.8868552412645591,0.8709150326797386,601.0
2.0,0.9981132075471698,1.0,0.9990557129367328,529.0
3.0,0.961028192371476,0.9795055989858441,0.9701789264413521,4733.0
4.0,0.9995510662177329,0.9995510662177329,0.9995510662177329,4455.0
5.0,1.0,0.8333333333333334,0.9090909090909091,6.0
6.0,0.990205680705191,0.9941002949852508,0.9921491658488715,1017.0
7.0,0.9986164640774781,0.9984191285446102,0.9985177865612649,10121.0
8.0,0.9972192513368984,0.9995711835334476,0.9983938323160938,4664.0
9.0,0.9473684210526315,0.9,0.9230769230769231,20.0
10.0,0.9966555183946488,0.9974895397489539,0.9970723546633208,1195.0
11.0,0.9962792577535275,0.9941520467836257,0.995214515573605,84303.0
12.0,0.9999644848527898,1.0,0.9999822421110579,28156.0
13.0,0.9282051282051282,0.9427083333333334,0.9354005167958657,192.0
14.0,0.9982083922677982,0.9986792452830189,0.9984437632633812,10600.0
15.0,0.7363420427553444,0.7989690721649485,0.7663782447466008,388.0
16.0,0.9425287356321839,0.9647058823529412,0.9534883720930232,85.0
17.0,0.7804878048780488,0.810126582278481,0.7950310559006211,237.0
18.0,0.9997120644975526,0.9997120644975526,0.9997120644975526,3473.0
accuracy,0.9948710764039058,0.9948710764039058,0.9948710764039058,0.9948710764039058
macro avg,0.953995630052249,0.9525199270161911,0.9527157500448095,164167.0
weighted avg,0.9949751790474054,0.9948710764039058,0.9949150050211011,164167.0
