,precision,recall,f1-score,support
0.0,0.9873780229104794,0.9911626916524702,0.9892667375132838,9392.0
1.0,0.758095238095238,0.6622296173044925,0.7069271758436945,601.0
2.0,0.9460966542750929,0.9621928166351607,0.9540768509840675,529.0
3.0,0.9674176776429809,0.5896894147475175,0.7327382515095826,4733.0
4.0,0.9979811574697174,0.9986531986531987,0.9983170649612925,4455.0
5.0,1.0,1.0,1.0,6.0
6.0,0.9666666666666667,0.7128810226155359,0.8205998868138087,1017.0
7.0,0.9038479631197667,0.9492145044956032,0.9259759036144578,10121.0
8.0,0.9541731237547044,0.9240994854202401,0.9388955451475873,4664.0
9.0,0.23076923076923078,0.15,0.18181818181818185,20.0
10.0,1.0,0.8050209205020921,0.8919796012980992,1195.0
11.0,0.9606815805499064,0.9917915139437505,0.9759887005649719,84303.0
12.0,0.9989703532753418,0.9992896718283847,0.9991299870385825,28156.0
13.0,0.9448275862068966,0.7135416666666666,0.8130563798219584,192.0
14.0,0.9358007541178806,0.8897169811320754,0.9121771931521423,10600.0
15.0,0.7155425219941349,0.6288659793814433,0.6694101508916324,388.0
16.0,0.975,0.9176470588235294,0.9454545454545454,85.0
17.0,0.5179856115107914,0.3037974683544304,0.3829787234042554,237.0
18.0,0.9994244604316547,1.0,0.9997121473805411,3473.0
accuracy,0.9639635249471574,0.9639635249471574,0.9639635249471574,0.9639635249471574
macro avg,0.8821399264626569,0.7994628427450837,0.8336054224848781,164167.0
weighted avg,0.9637240458459846,0.9639635249471574,0.9620420315948823,164167.0
