,precision,recall,f1-score,support
0.0,0.9409045226130653,0.9968057921635435,0.9680488057077862,9392.0
1.0,0.2273449920508744,0.9517470881863561,0.36701957009945463,601.0
2.0,0.7645348837209303,0.994328922495274,0.8644207066557108,529.0
3.0,0.1256921225090277,0.9928163955208114,0.22313500166199726,4733.0
4.0,1.0,0.9973063973063973,0.9986513823331086,4455.0
5.0,0.8333333333333334,0.8333333333333334,0.8333333333333334,6.0
6.0,0.807478122513922,0.9980334316617503,0.8927000879507476,1017.0
7.0,0.5880152037059033,0.9782630174883905,0.7345227938721762,10121.0
8.0,0.19715675271230826,0.5649656946826758,0.29230683898164067,4664.0
9.0,0.0013953146801791879,0.95,0.0027865366282906804,20.0
10.0,0.9991596638655462,0.994979079497908,0.9970649895178196,1195.0
11.0,0.9834378093038602,0.17679086153517667,0.29970439783627256,84303.0
12.0,0.9623212321232123,0.9941753089927546,0.9779889595416114,28156.0
13.0,0.7014925373134329,0.734375,0.7175572519083969,192.0
14.0,0.9868260551353989,0.38160377358490566,0.5503775767058984,10600.0
15.0,0.12781701984527413,0.979381443298969,0.22612317762570666,388.0
16.0,0.2892857142857143,0.9529411764705882,0.4438356164383562,85.0
17.0,0.02544262295081967,0.8185654008438819,0.0493513100992114,237.0
18.0,0.9914064737897451,0.9965447739706306,0.9939689833429064,3473.0
accuracy,0.5212009721807671,0.5212009721807671,0.5212009721807671,0.5212009721807671
macro avg,0.608054967181713,0.8572082574228078,0.6017314379073909,164167.0
weighted avg,0.8981056070222676,0.5212009721807671,0.5393284454690325,164167.0
