,precision,recall,f1-score,support
0.0,0.9995742869306088,1.0,0.9997870981477539,9392.0
1.0,0.8231292517006803,0.8053244592346089,0.8141295206055509,601.0
2.0,0.9924528301886792,0.994328922495274,0.9933899905571293,529.0
3.0,0.9953017708709794,0.5818719628142827,0.7343999999999999,4733.0
4.0,0.9986519883172321,0.9977553310886644,0.9982034583426904,4455.0
5.0,1.0,1.0,1.0,6.0
6.0,0.9745958429561201,0.8298918387413963,0.8964418481147106,1017.0
7.0,0.9945759368836292,0.996443039225373,0.9955086126054983,10121.0
8.0,0.9872040946896993,0.9924957118353345,0.9898428311771624,4664.0
9.0,1.0,0.2,0.33333333333333337,20.0
10.0,0.9979570990806946,0.8175732217573222,0.8988040478380864,1195.0
11.0,0.9669449043414275,0.9976038812379157,0.9820351590095693,84303.0
12.0,0.9990767701157588,0.9992896718283847,0.9991832096310239,28156.0
13.0,0.9872611464968153,0.8072916666666666,0.8882521489971347,192.0
14.0,0.9972587201058701,0.9952830188679245,0.9962698899853627,10600.0
15.0,0.9765625,0.6443298969072165,0.7763975155279503,388.0
16.0,0.9871794871794872,0.9058823529411765,0.9447852760736197,85.0
17.0,0.9866666666666667,0.31223628691983124,0.4743589743589744,237.0
18.0,0.9997116493656286,0.9982723869853153,0.9989914997838929,3473.0
accuracy,0.9804406488514744,0.9804406488514744,0.9804406488514744,0.9804406488514744
macro avg,0.9823213129415778,0.8355722973445624,0.879690232320497,164167.0
weighted avg,0.980849543015837,0.9804406488514744,0.9784809548979767,164167.0
