,precision,recall,f1-score,support
0,0.7377919320594479,0.7194616977225673,0.728511530398323,4830.0
1,0.9405651185449821,0.6022042004574756,0.7342799188640975,9618.0
2,1.0,0.9755899104963385,0.9876441515650741,13519.0
3,0.9998264190244749,0.5789526585586491,0.7332908975175048,9949.0
4,0.9976679486130431,0.9950624336897086,0.9963634877829534,24506.0
5,0.1873589164785553,0.8341708542713567,0.30599078341013825,199.0
6,1.0,0.9855072463768116,0.9927007299270074,69.0
7,1.0,0.9999926657987862,0.9999963328859455,272695.0
8,0.45912905972509427,0.7558069683620344,0.5712447975785092,9988.0
9,0.4847461714699144,0.9928377377130155,0.6514341273699563,4049.0
10,0.32531500572737687,0.2880324543610548,0.305540613232921,1972.0
11,0.5083706282115034,0.305234872611465,0.3814439400534793,10048.0
12,0.5923924340054043,0.39304923458833263,0.4725584480185707,7251.0
13,0.9608913649025069,0.8489860208702501,0.9014791198452935,10158.0
14,0.3413561076604555,0.8553826199740596,0.4879763226045134,3084.0
accuracy,0.9290690824354929,0.9290690824354929,0.9290690824354929,0.9290690824354929
macro avg,0.7023607404281839,0.7420181050567937,0.6833636800702858,381935.0
weighted avg,0.9444888799875236,0.9290690824354929,0.9303571270604827,381935.0
