,precision,recall,f1-score,support
0.0,0.9998935377408709,1.0,0.9999467660367314,9392.0
1.0,0.9744525547445255,0.8885191347753744,0.9295039164490861,601.0
2.0,1.0,1.0,1.0,529.0
3.0,0.9806670915657532,0.9752799492922036,0.9779661016949153,4733.0
4.0,1.0,0.9995510662177329,0.9997754827121689,4455.0
5.0,1.0,0.8333333333333334,0.9090909090909091,6.0
6.0,0.9921798631476051,0.9980334316617503,0.9950980392156864,1017.0
7.0,0.9989130434782608,0.9988143464084577,0.9988636925053109,10121.0
8.0,0.9982865710002142,0.9993567753001715,0.9988213864780885,4664.0
9.0,1.0,0.6,0.7499999999999999,20.0
10.0,0.9991624790619765,0.998326359832636,0.9987442444537463,1195.0
11.0,0.995481803020805,0.998363047578378,0.996920343500148,84303.0
12.0,1.0,1.0,1.0,28156.0
13.0,0.9788359788359788,0.9635416666666666,0.9711286089238844,192.0
14.0,0.9998112495281238,0.9994339622641509,0.9996225702962823,10600.0
15.0,0.974910394265233,0.7010309278350515,0.8155922038980509,388.0
16.0,1.0,0.9764705882352941,0.988095238095238,85.0
17.0,0.984375,0.7974683544303798,0.8811188811188811,237.0
18.0,1.0,0.9997120644975526,0.9998560115190784,3473.0
accuracy,0.9967593974428478,0.9967593974428478,0.9967593974428478,0.9967593974428478
macro avg,0.9935247140204918,0.933012368859428,0.9584286524204318,164167.0
weighted avg,0.9967337972960798,0.9967593974428478,0.9966644383242386,164167.0
