training_exp,epoch,training_accuracy,training_f1,val_accuracy,training_loss,val_loss
0,0,0.9661,0.5679,0,0,0
0,1,0.9729,0.7404,0,0,0
0,2,0.9747,0.7499,0,0,0
0,3,0.9820,0.8035,0,0,0
0,4,0.9907,0.8621,0,0,0
1,0,0.9941,0.8633,0,0,0
1,1,0.9963,0.9355,0,0,0
1,2,0.9966,0.9336,0,0,0
1,3,0.9968,0.9369,0,0,0
1,4,0.9969,0.9376,0,0,0
2,0,0.9744,0.7772,0,0,0
2,1,0.9767,0.8172,0,0,0
2,2,0.9770,0.8338,0,0,0
2,3,0.9771,0.8423,0,0,0
2,4,0.9773,0.8491,0,0,0
3,0,0.9493,0.7676,0,0,0
3,1,0.9513,0.7913,0,0,0
3,2,0.9519,0.7995,0,0,0
3,3,0.9520,0.7936,0,0,0
3,4,0.9519,0.8009,0,0,0
4,0,0.9452,0.6712,0,0,0
4,1,0.9494,0.7198,0,0,0
4,2,0.9502,0.7356,0,0,0
4,3,0.9505,0.7372,0,0,0
4,4,0.9506,0.7455,0,0,0
