training_exp,epoch,training_accuracy,training_f1,val_accuracy,training_loss,val_loss
0,0,0.9689,0.6059,0,0,0
0,1,0.9747,0.7282,0,0,0
0,2,0.9862,0.8177,0,0,0
0,3,0.9919,0.8767,0,0,0
0,4,0.9928,0.8928,0,0,0
1,0,0.9977,0.9223,0,0,0
1,1,1.0000,0.9984,0,0,0
1,2,1.0000,1.0000,0,0,0
1,3,1.0000,1.0000,0,0,0
1,4,1.0000,1.0000,0,0,0
2,0,0.9973,0.9633,0,0,0
2,1,1.0000,1.0000,0,0,0
2,2,1.0000,1.0000,0,0,0
2,3,1.0000,1.0000,0,0,0
2,4,1.0000,1.0000,0,0,0
3,0,0.9948,0.9475,0,0,0
3,1,1.0000,1.0000,0,0,0
3,2,1.0000,1.0000,0,0,0
3,3,1.0000,0.9999,0,0,0
3,4,1.0000,1.0000,0,0,0
4,0,0.9942,0.9221,0,0,0
4,1,1.0000,0.9999,0,0,0
4,2,1.0000,0.9999,0,0,0
4,3,1.0000,1.0000,0,0,0
4,4,1.0000,0.9999,0,0,0
