training_exp,epoch,training_accuracy,training_f1,val_accuracy,training_loss,val_loss
0,0,0.9663,0.5660,0,0,0
0,1,0.9725,0.7381,0,0,0
0,2,0.9744,0.7477,0,0,0
0,3,0.9821,0.7929,0,0,0
0,4,0.9904,0.8603,0,0,0
1,0,0.9968,0.8952,0,0,0
1,1,1.0000,0.9943,0,0,0
1,2,1.0000,1.0000,0,0,0
1,3,1.0000,1.0000,0,0,0
1,4,1.0000,0.9974,0,0,0
2,0,0.9688,0.8957,0,0,0
2,1,0.9731,0.9476,0,0,0
2,2,0.9739,0.9481,0,0,0
2,3,0.9744,0.9495,0,0,0
2,4,0.9745,0.9473,0,0,0
3,0,0.9603,0.8801,0,0,0
3,1,0.9742,0.9700,0,0,0
3,2,0.9753,0.9717,0,0,0
3,3,0.9759,0.9722,0,0,0
3,4,0.9761,0.9732,0,0,0
4,0,0.9426,0.6792,0,0,0
4,1,0.9598,0.8262,0,0,0
4,2,0.9628,0.8420,0,0,0
4,3,0.9637,0.8483,0,0,0
4,4,0.9644,0.8546,0,0,0
