training_exp,epoch,training_accuracy,training_f1,val_accuracy,training_loss,val_loss
0,0,0.9585,0.4362,0,0,0
0,1,0.9715,0.7193,0,0,0
0,2,0.9730,0.7380,0,0,0
0,3,0.9777,0.7655,0,0,0
0,4,0.9895,0.8540,0,0,0
1,0,0.9267,0.6826,0,0,0
1,1,0.9384,0.7393,0,0,0
1,2,0.9402,0.7454,0,0,0
1,3,0.9471,0.7617,0,0,0
1,4,0.9498,0.8605,0,0,0
2,0,0.8509,0.6786,0,0,0
2,1,0.8711,0.7385,0,0,0
2,2,0.8800,0.7488,0,0,0
2,3,0.8875,0.7697,0,0,0
2,4,0.8912,0.7784,0,0,0
3,0,0.7697,0.5910,0,0,0
3,1,0.7839,0.6318,0,0,0
3,2,0.7921,0.6533,0,0,0
3,3,0.7995,0.6686,0,0,0
3,4,0.8040,0.6779,0,0,0
4,0,0.8073,0.5351,0,0,0
4,1,0.8161,0.5583,0,0,0
4,2,0.8165,0.5574,0,0,0
4,3,0.8159,0.5578,0,0,0
4,4,0.8193,0.5662,0,0,0
