training_exp,epoch,training_accuracy,training_f1,val_accuracy,training_loss,val_loss
0,0,0.9660,0.5624,0,0,0
0,1,0.9729,0.7365,0,0,0
0,2,0.9760,0.7543,0,0,0
0,3,0.9860,0.8312,0,0,0
0,4,0.9916,0.8791,0,0,0
1,0,0.9965,0.8912,0,0,0
1,1,0.9999,0.9852,0,0,0
1,2,1.0000,0.9983,0,0,0
1,3,1.0000,0.9994,0,0,0
1,4,1.0000,0.9970,0,0,0
2,0,0.9948,0.9383,0,0,0
2,1,1.0000,1.0000,0,0,0
2,2,1.0000,1.0000,0,0,0
2,3,1.0000,1.0000,0,0,0
2,4,1.0000,1.0000,0,0,0
3,0,0.9920,0.9235,0,0,0
3,1,0.9999,0.9999,0,0,0
3,2,1.0000,0.9999,0,0,0
3,3,1.0000,1.0000,0,0,0
3,4,1.0000,0.9999,0,0,0
4,0,0.9921,0.9035,0,0,0
4,1,1.0000,0.9999,0,0,0
4,2,1.0000,0.9999,0,0,0
4,3,1.0000,0.9999,0,0,0
4,4,1.0000,0.9998,0,0,0
