training_exp,epoch,training_accuracy,training_f1,val_accuracy,training_loss,val_loss
0,0,0.9658,0.5605,0,0,0
0,1,0.9729,0.7248,0,0,0
0,2,0.9743,0.7487,0,0,0
0,3,0.9801,0.7822,0,0,0
0,4,0.9888,0.8508,0,0,0
1,0,0.8796,0.5627,0,0,0
1,1,0.8828,0.5930,0,0,0
1,2,0.8838,0.5939,0,0,0
1,3,0.8833,0.5931,0,0,0
1,4,0.8834,0.5955,0,0,0
2,0,0.8403,0.5976,0,0,0
2,1,0.8432,0.6295,0,0,0
2,2,0.8433,0.6318,0,0,0
2,3,0.8425,0.6272,0,0,0
2,4,0.8427,0.6257,0,0,0
3,0,0.7562,0.5340,0,0,0
3,1,0.7572,0.5507,0,0,0
3,2,0.7579,0.5521,0,0,0
3,3,0.7579,0.5500,0,0,0
3,4,0.7572,0.5488,0,0,0
4,0,0.8195,0.4416,0,0,0
4,1,0.8203,0.4500,0,0,0
4,2,0.8200,0.4497,0,0,0
4,3,0.8208,0.4493,0,0,0
4,4,0.8207,0.4488,0,0,0
