training_exp,epoch,training_accuracy,training_f1,val_accuracy,training_loss,val_loss
0,0,0.9671,0.5647,0,0,0
0,1,0.9731,0.7229,0,0,0
0,2,0.9752,0.7472,0,0,0
0,3,0.9846,0.8212,0,0,0
0,4,0.9916,0.8819,0,0,0
1,0,0.9976,0.9218,0,0,0
1,1,0.9999,0.9871,0,0,0
1,2,1.0000,0.9874,0,0,0
1,3,1.0000,0.9970,0,0,0
1,4,1.0000,0.9997,0,0,0
2,0,0.9986,0.9870,0,0,0
2,1,1.0000,1.0000,0,0,0
2,2,1.0000,0.9999,0,0,0
2,3,1.0000,1.0000,0,0,0
2,4,1.0000,1.0000,0,0,0
3,0,0.9975,0.9802,0,0,0
3,1,1.0000,1.0000,0,0,0
3,2,1.0000,1.0000,0,0,0
3,3,1.0000,1.0000,0,0,0
3,4,1.0000,0.9999,0,0,0
4,0,0.9984,0.9787,0,0,0
4,1,1.0000,1.0000,0,0,0
4,2,1.0000,1.0000,0,0,0
4,3,1.0000,1.0000,0,0,0
4,4,1.0000,0.9999,0,0,0
