training_exp,epoch,training_accuracy,training_f1,val_accuracy,training_loss,val_loss
0,0,0.9642,0.5616,0,0,0
0,1,0.9723,0.7244,0,0,0
0,2,0.9740,0.7400,0,0,0
0,3,0.9815,0.7938,0,0,0
0,4,0.9899,0.8531,0,0,0
1,0,0.9965,0.9064,0,0,0
1,1,1.0000,0.9913,0,0,0
1,2,1.0000,0.9993,0,0,0
1,3,1.0000,1.0000,0,0,0
1,4,1.0000,1.0000,0,0,0
2,0,0.9951,0.9423,0,0,0
2,1,1.0000,1.0000,0,0,0
2,2,1.0000,1.0000,0,0,0
2,3,1.0000,1.0000,0,0,0
2,4,1.0000,1.0000,0,0,0
3,0,0.9914,0.9193,0,0,0
3,1,0.9999,0.9998,0,0,0
3,2,1.0000,1.0000,0,0,0
3,3,1.0000,1.0000,0,0,0
3,4,1.0000,1.0000,0,0,0
4,0,0.9919,0.8979,0,0,0
4,1,1.0000,0.9999,0,0,0
4,2,1.0000,0.9999,0,0,0
4,3,1.0000,0.9999,0,0,0
4,4,1.0000,1.0000,0,0,0
