training_exp,epoch,training_accuracy,training_f1,val_accuracy,training_loss,val_loss
0,0,0.9665,0.5672,0,0,0
0,1,0.9730,0.7341,0,0,0
0,2,0.9641,0.6663,0,0,0
0,3,0.9758,0.7664,0,0,0
0,4,0.9790,0.7827,0,0,0
1,0,0.9805,0.7522,0,0,0
1,1,1.0000,0.9932,0,0,0
1,2,0.9484,0.5992,0,0,0
1,3,0.9902,0.8661,0,0,0
1,4,0.9934,0.9143,0,0,0
2,0,0.9785,0.8179,0,0,0
2,1,1.0000,0.9999,0,0,0
2,2,0.9702,0.8489,0,0,0
2,3,0.9955,0.9910,0,0,0
2,4,0.9971,0.9946,0,0,0
3,0,0.9587,0.7444,0,0,0
3,1,0.9997,0.9991,0,0,0
3,2,0.8389,0.5989,0,0,0
3,3,0.9195,0.8759,0,0,0
3,4,0.9430,0.9233,0,0,0
4,0,0.9673,0.7490,0,0,0
4,1,0.9997,0.9986,0,0,0
4,2,0.9524,0.7939,0,0,0
4,3,0.9913,0.9740,0,0,0
4,4,0.9947,0.9845,0,0,0
