training_exp,epoch,training_accuracy,training_f1,val_accuracy,training_loss,val_loss
0,0,0.9667,0.5699,0,0,0
0,1,0.9728,0.7370,0,0,0
0,2,0.9752,0.7527,0,0,0
0,3,0.9835,0.8079,0,0,0
0,4,0.9909,0.8722,0,0,0
1,0,0.9961,0.8963,0,0,0
1,1,0.9999,0.9870,0,0,0
1,2,1.0000,0.9976,0,0,0
1,3,1.0000,0.9976,0,0,0
1,4,1.0000,1.0000,0,0,0
2,0,0.9950,0.9403,0,0,0
2,1,1.0000,1.0000,0,0,0
2,2,1.0000,1.0000,0,0,0
2,3,1.0000,1.0000,0,0,0
2,4,1.0000,1.0000,0,0,0
3,0,0.9916,0.9191,0,0,0
3,1,1.0000,0.9999,0,0,0
3,2,1.0000,1.0000,0,0,0
3,3,1.0000,1.0000,0,0,0
3,4,1.0000,1.0000,0,0,0
4,0,0.9912,0.8934,0,0,0
4,1,1.0000,0.9999,0,0,0
4,2,1.0000,1.0000,0,0,0
4,3,1.0000,1.0000,0,0,0
4,4,1.0000,1.0000,0,0,0
