training_exp,epoch,training_accuracy,training_f1,val_accuracy,training_loss,val_loss
0,0,0.9521,0.4994,0,0,0
0,1,0.9864,0.8622,0,0,0
0,2,0.9922,0.9370,0,0,0
0,3,0.9949,0.9644,0,0,0
0,4,0.9953,0.9505,0,0,0
1,0,0.9860,0.7956,0,0,0
1,1,0.9921,0.9337,0,0,0
1,2,0.9931,0.9350,0,0,0
1,3,0.9933,0.9478,0,0,0
1,4,0.9937,0.9515,0,0,0
2,0,0.9905,0.8591,0,0,0
2,1,0.9938,0.9110,0,0,0
2,2,0.9942,0.9186,0,0,0
2,3,0.9943,0.9198,0,0,0
2,4,0.9945,0.9240,0,0,0
3,0,0.9760,0.8781,0,0,0
3,1,0.9795,0.9131,0,0,0
3,2,0.9802,0.9148,0,0,0
3,3,0.9807,0.9180,0,0,0
3,4,0.9812,0.9261,0,0,0
4,0,0.9772,0.8409,0,0,0
4,1,0.9825,0.8834,0,0,0
4,2,0.9834,0.8948,0,0,0
4,3,0.9839,0.8971,0,0,0
4,4,0.9843,0.8939,0,0,0
