training_exp,epoch,training_accuracy,training_f1,val_accuracy,training_loss,val_loss
0,0,0.9667,0.5773,0,0,0
0,1,0.9917,0.9448,0,0,0
0,2,0.9947,0.9084,0,0,0
0,3,0.9954,0.9519,0,0,0
0,4,0.9956,0.9472,0,0,0
1,0,0.9846,0.7814,0,0,0
1,1,0.9931,0.9613,0,0,0
1,2,0.9936,0.9647,0,0,0
1,3,0.9943,0.9718,0,0,0
1,4,0.9941,0.9651,0,0,0
2,0,0.9866,0.8125,0,0,0
2,1,0.9960,0.9150,0,0,0
2,2,0.9965,0.9239,0,0,0
2,3,0.9968,0.9313,0,0,0
2,4,0.9970,0.9387,0,0,0
3,0,0.9197,0.8026,0,0,0
3,1,0.9480,0.9451,0,0,0
3,2,0.9518,0.9478,0,0,0
3,3,0.9533,0.9550,0,0,0
3,4,0.9541,0.9551,0,0,0
4,0,0.9811,0.7001,0,0,0
4,1,0.9961,0.8628,0,0,0
4,2,0.9971,0.9051,0,0,0
4,3,0.9976,0.9114,0,0,0
4,4,0.9979,0.9245,0,0,0
