training_exp,epoch,training_accuracy,training_f1,val_accuracy,training_loss,val_loss
0,0,0.9522,0.4840,0,0,0
0,1,0.9860,0.8609,0,0,0
0,2,0.9909,0.8849,0,0,0
0,3,0.9946,0.9611,0,0,0
0,4,0.9950,0.9537,0,0,0
1,0,0.9783,0.6832,0,0,0
1,1,0.9924,0.9529,0,0,0
1,2,0.9928,0.9595,0,0,0
1,3,0.9935,0.9673,0,0,0
1,4,0.9938,0.9653,0,0,0
2,0,0.9792,0.7567,0,0,0
2,1,0.9952,0.8892,0,0,0
2,2,0.9958,0.9079,0,0,0
2,3,0.9963,0.9274,0,0,0
2,4,0.9965,0.9303,0,0,0
3,0,0.9014,0.7410,0,0,0
3,1,0.9391,0.9135,0,0,0
3,2,0.9445,0.9258,0,0,0
3,3,0.9465,0.9314,0,0,0
3,4,0.9485,0.9304,0,0,0
4,0,0.9520,0.6559,0,0,0
4,1,0.9881,0.7997,0,0,0
4,2,0.9915,0.8686,0,0,0
4,3,0.9928,0.8585,0,0,0
4,4,0.9939,0.8817,0,0,0
