training_exp,epoch,training_accuracy,training_f1,val_accuracy,training_loss,val_loss
0,0,0.9434,0.4295,0,0,0
0,1,0.9853,0.7424,0,0,0
0,2,0.9918,0.9037,0,0,0
0,3,0.9948,0.9473,0,0,0
0,4,0.9951,0.9289,0,0,0
1,0,0.9340,0.6021,0,0,0
1,1,0.9389,0.6343,0,0,0
1,2,0.9477,0.6906,0,0,0
1,3,0.9502,0.7205,0,0,0
1,4,0.9537,0.7483,0,0,0
2,0,0.5746,0.5428,0,0,0
2,1,0.5831,0.5766,0,0,0
2,2,0.6047,0.6026,0,0,0
2,3,0.6220,0.6237,0,0,0
2,4,0.6357,0.6373,0,0,0
3,0,0.6599,0.5459,0,0,0
3,1,0.6803,0.6005,0,0,0
3,2,0.6846,0.6032,0,0,0
3,3,0.6917,0.6108,0,0,0
3,4,0.6922,0.6091,0,0,0
4,0,0.6777,0.5283,0,0,0
4,1,0.7372,0.5821,0,0,0
4,2,0.7580,0.5982,0,0,0
4,3,0.7685,0.6052,0,0,0
4,4,0.7721,0.6084,0,0,0
