training_exp,epoch,training_accuracy,training_f1,val_accuracy,training_loss,val_loss
0,0,0.9490,0.4883,0,0,0
0,1,0.9865,0.8752,0,0,0
0,2,0.9923,0.9305,0,0,0
0,3,0.9947,0.9406,0,0,0
0,4,0.9951,0.9559,0,0,0
1,0,0.9789,0.6701,0,0,0
1,1,0.9928,0.9622,0,0,0
1,2,0.9935,0.9646,0,0,0
1,3,0.9938,0.9646,0,0,0
1,4,0.9940,0.9658,0,0,0
2,0,0.9807,0.7814,0,0,0
2,1,0.9958,0.9168,0,0,0
2,2,0.9963,0.9313,0,0,0
2,3,0.9968,0.9354,0,0,0
2,4,0.9968,0.9389,0,0,0
3,0,0.9090,0.7594,0,0,0
3,1,0.9463,0.9453,0,0,0
3,2,0.9500,0.9499,0,0,0
3,3,0.9524,0.9540,0,0,0
3,4,0.9541,0.9568,0,0,0
4,0,0.9766,0.6694,0,0,0
4,1,0.9962,0.8443,0,0,0
4,2,0.9968,0.8405,0,0,0
4,3,0.9973,0.8813,0,0,0
4,4,0.9975,0.8964,0,0,0
