training_exp,epoch,training_accuracy,training_f1,val_accuracy,training_loss,val_loss
0,0,0.9528,0.4864,0,0,0
0,1,0.9867,0.8782,0,0,0
0,2,0.9920,0.9216,0,0,0
0,3,0.9947,0.9517,0,0,0
0,4,0.9951,0.9410,0,0,0
1,0,0.9051,0.2392,0,0,0
1,1,0.9052,0.2394,0,0,0
1,2,0.9055,0.2393,0,0,0
1,3,0.9050,0.2393,0,0,0
1,4,0.9053,0.2391,0,0,0
2,0,0.5874,0.2568,0,0,0
2,1,0.5948,0.2727,0,0,0
2,2,0.5946,0.2721,0,0,0
2,3,0.5930,0.2725,0,0,0
2,4,0.5940,0.2728,0,0,0
3,0,0.5650,0.1764,0,0,0
3,1,0.5650,0.1768,0,0,0
3,2,0.5633,0.1740,0,0,0
3,3,0.5649,0.1773,0,0,0
3,4,0.5647,0.1771,0,0,0
4,0,0.5925,0.3431,0,0,0
4,1,0.5934,0.3577,0,0,0
4,2,0.5941,0.3578,0,0,0
4,3,0.5933,0.3525,0,0,0
4,4,0.5933,0.3580,0,0,0
