training_exp,epoch,training_accuracy,training_f1,val_accuracy,training_loss,val_loss
0,0,0.9603,0.5004,0,0,0
0,1,0.9871,0.8296,0,0,0
0,2,0.9926,0.9170,0,0,0
0,3,0.9950,0.9663,0,0,0
0,4,0.9953,0.9625,0,0,0
1,0,0.9571,0.5407,0,0,0
1,1,0.9920,0.9473,0,0,0
1,2,0.9930,0.9580,0,0,0
1,3,0.9937,0.9646,0,0,0
1,4,0.9941,0.9660,0,0,0
2,0,0.9870,0.7585,0,0,0
2,1,0.9954,0.8910,0,0,0
2,2,0.9959,0.9123,0,0,0
2,3,0.9964,0.9260,0,0,0
2,4,0.9966,0.9393,0,0,0
3,0,0.9067,0.7367,0,0,0
3,1,0.9454,0.9355,0,0,0
3,2,0.9498,0.9447,0,0,0
3,3,0.9518,0.9511,0,0,0
3,4,0.9528,0.9545,0,0,0
4,0,0.9834,0.7043,0,0,0
4,1,0.9958,0.7578,0,0,0
4,2,0.9965,0.7734,0,0,0
4,3,0.9973,0.8319,0,0,0
4,4,0.9974,0.8571,0,0,0
