training_exp,epoch,training_accuracy,training_f1,val_accuracy,training_loss,val_loss
0,0,0.9476,0.4770,0,0,0
0,1,0.9860,0.8866,0,0,0
0,2,0.9922,0.8999,0,0,0
0,3,0.9948,0.9524,0,0,0
0,4,0.9952,0.9337,0,0,0
1,0,0.9780,0.6677,0,0,0
1,1,0.9931,0.9662,0,0,0
1,2,0.9937,0.9678,0,0,0
1,3,0.9941,0.9705,0,0,0
1,4,0.9942,0.9694,0,0,0
2,0,0.9797,0.7716,0,0,0
2,1,0.9956,0.9070,0,0,0
2,2,0.9963,0.9288,0,0,0
2,3,0.9966,0.9290,0,0,0
2,4,0.9967,0.9394,0,0,0
3,0,0.9005,0.7370,0,0,0
3,1,0.9459,0.9383,0,0,0
3,2,0.9502,0.9516,0,0,0
3,3,0.9524,0.9507,0,0,0
3,4,0.9537,0.9563,0,0,0
4,0,0.9733,0.6660,0,0,0
4,1,0.9959,0.8144,0,0,0
4,2,0.9965,0.8787,0,0,0
4,3,0.9970,0.8971,0,0,0
4,4,0.9974,0.8930,0,0,0
