training_exp,epoch,training_accuracy,training_f1,val_accuracy,training_loss,val_loss
0,0,0.9552,0.5026,0,0,0
0,1,0.9865,0.8337,0,0,0
0,2,0.9788,0.7132,0,0,0
0,3,0.9879,0.7548,0,0,0
0,4,0.9903,0.7649,0,0,0
1,0,0.9324,0.4079,0,0,0
1,1,0.9841,0.9219,0,0,0
1,2,0.9062,0.2382,0,0,0
1,3,0.9084,0.2406,0,0,0
1,4,0.9104,0.3100,0,0,0
2,0,0.8931,0.4825,0,0,0
2,1,0.9927,0.8768,0,0,0
2,2,0.5300,0.1870,0,0,0
2,3,0.8188,0.4898,0,0,0
2,4,0.8786,0.5578,0,0,0
3,0,0.7305,0.3699,0,0,0
3,1,0.8783,0.8174,0,0,0
3,2,0.6154,0.2501,0,0,0
3,3,0.7227,0.5243,0,0,0
3,4,0.7776,0.6292,0,0,0
4,0,0.8378,0.4371,0,0,0
4,1,0.9873,0.7427,0,0,0
4,2,0.6439,0.3656,0,0,0
4,3,0.8331,0.6241,0,0,0
4,4,0.8930,0.6757,0,0,0
