training_exp,epoch,training_accuracy,training_f1,val_accuracy,training_loss,val_loss
0,0,0.9512,0.4885,0,0,0
0,1,0.9865,0.8534,0,0,0
0,2,0.9924,0.9496,0,0,0
0,3,0.9946,0.9467,0,0,0
0,4,0.9951,0.9531,0,0,0
1,0,0.9782,0.6942,0,0,0
1,1,0.9927,0.9576,0,0,0
1,2,0.9934,0.9677,0,0,0
1,3,0.9938,0.9668,0,0,0
1,4,0.9940,0.9732,0,0,0
2,0,0.9792,0.7705,0,0,0
2,1,0.9957,0.9090,0,0,0
2,2,0.9962,0.9246,0,0,0
2,3,0.9966,0.9251,0,0,0
2,4,0.9968,0.9364,0,0,0
3,0,0.9023,0.7357,0,0,0
3,1,0.9461,0.9460,0,0,0
3,2,0.9502,0.9493,0,0,0
3,3,0.9521,0.9513,0,0,0
3,4,0.9539,0.9564,0,0,0
4,0,0.9731,0.6639,0,0,0
4,1,0.9957,0.8340,0,0,0
4,2,0.9965,0.8672,0,0,0
4,3,0.9971,0.8848,0,0,0
4,4,0.9975,0.9042,0,0,0
